Student_ID,Age,Gender,Class,Study_Hours_Per_Day,Attendance_Percentage,Parental_Education,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Final_Percentage,Performance_Level,Pass_Fail
S0063,19,Female,11,1.9,66,High School,No,No,95,82,89,52,88.67,Excellent,Pass
S0064,19,Female,12,1.9,56,Graduate,Yes,No,75,40,40,86,51.67,Average,Pass
S0065,19,Male,12,3.6,84,Graduate,Yes,No,85,71,53,95,69.67,Good,Pass
S0066,14,Female,10,2.7,55,High School,Yes,No,67,60,84,65,70.33,Good,Pass
S0067,14,Female,10,4.4,71,Postgraduate,Yes,No,64,47,66,54,59.0,Average,Pass
S0068,17,Male,10,5.4,96,Postgraduate,No,Yes,43,86,65,81,64.67,Average,Pass
S0069,17,Male,10,3.4,77,High School,No,No,35,77,97,83,69.67,Good,Pass
S0070,16,Female,9,5.8,91,Graduate,Yes,Yes,93,93,41,76,75.67,Good,Pass
S0071,14,Female,10,1.5,50,Postgraduate,No,No,90,81,48,80,73.0,Good,Pass
S0072,14,Male,12,3.6,58,Postgraduate,No,Yes,71,96,67,49,78.0,Good,Pass
S0073,17,Female,11,1.8,76,High School,No,Yes,60,49,83,79,64.0,Average,Pass
S0074,15,Female,11,2.9,57,Postgraduate,No,No,85,71,67,78,74.33,Good,Pass
S0075,18,Male,9,5.7,84,Graduate,Yes,Yes,56,85,75,65,72.0,Good,Pass
S0076,17,Female,12,2.2,67,Postgraduate,No,Yes,78,49,88,46,71.67,Good,Pass
S0077,14,Male,12,1.3,50,High School,No,No,47,62,65,94,58.0,Average,Pass
S0078,14,Female,10,2.1,57,High School,No,No,48,77,89,45,71.33,Good,Pass
S0079,16,Male,11,1.9,91,High School,No,No,52,99,44,44,65.0,Average,Pass
S0080,18,Female,11,1.3,87,Graduate,No,Yes,38,97,75,86,70.0,Good,Pass
S0081,16,Female,10,4.5,68,Postgraduate,Yes,No,81,76,62,90,73.0,Good,Pass
S0082,14,Female,9,2.4,82,Graduate,Yes,Yes,73,59,93,81,75.0,Good,Pass
S0083,14,Male,12,2.3,98,High School,No,Yes,45,38,38,41,40.33,Poor,Fail
S0084,14,Male,11,3.4,60,Postgraduate,Yes,Yes,36,100,90,45,75.33,Good,Pass
S0085,15,Female,9,5.7,92,Postgraduate,No,No,56,39,46,48,47.0,Poor,Fail
S0086,17,Female,10,5.6,68,Graduate,No,No,100,66,94,46,86.67,Excellent,Pass
S0087,17,Female,12,3.1,60,Graduate,Yes,No,71,74,42,61,62.33,Average,Pass
S0088,19,Female,11,2.6,60,High School,Yes,Yes,40,41,84,92,55.0,Average,Pass
S0089,14,Female,10,3.5,93,High School,Yes,No,48,79,64,73,63.67,Average,Pass
S0090,16,Female,11,0.8,55,High School,Yes,No,57,35,75,56,55.67,Average,Pass
S0091,18,Male,12,4.2,83,High School,Yes,No,63,41,53,43,52.33,Average,Pass
S0092,19,Male,11,2.9,54,High School,Yes,No,42,61,48,59,50.33,Average,Pass
S0093,18,Female,11,4.3,50,High School,Yes,No,61,51,70,71,60.67,Average,Pass
S0094,18,Female,9,4.1,50,High School,Yes,Yes,99,70,39,83,69.33,Good,Pass
S0095,19,Female,10,3.9,76,Postgraduate,No,Yes,95,79,83,51,85.67,Excellent,Pass
S0096,19,Female,12,2.3,73,Graduate,No,No,50,47,61,44,52.67,Average,Pass
S0097,19,Female,11,0.5,75,Postgraduate,No,No,50,98,68,88,72.0,Good,Pass
S0098,14,Female,12,2.3,66,High School,No,Yes,60,49,36,84,48.33,Poor,Fail
S0099,15,Male,9,1.9,52,High School,No,Yes,85,78,55,94,72.67,Good,Pass
S0100,14,Male,12,5.8,84,Postgraduate,No,No,46,77,76,54,66.33,Good,Pass
S0101,17,Female,11,3.9,70,High School,Yes,Yes,76,76,79,44,77.0,Good,Pass
S0102,18,Female,9,5.3,92,Graduate,No,Yes,91,37,78,77,68.67,Good,Pass
S0103,17,Female,9,5.1,90,Graduate,No,No,71,92,36,67,66.33,Good,Pass
S0104,14,Male,12,1.9,89,Graduate,Yes,Yes,80,77,81,41,79.33,Good,Pass
S0105,14,Male,9,5.3,61,High School,Yes,No,97,36,57,95,63.33,Average,Pass
S0106,15,Female,12,3.5,72,Postgraduate,Yes,Yes,77,73,65,88,71.67,Good,Pass
S0107,15,Female,11,2.2,67,Graduate,No,No,93,67,47,87,69.0,Good,Pass
S0108,16,Female,12,0.7,57,High School,No,Yes,75,59,54,58,62.67,Average,Pass
S0109,18,Male,10,0.9,76,High School,No,Yes,49,44,93,78,62.0,Average,Pass
S0110,16,Female,12,4.8,79,Postgraduate,No,Yes,86,88,96,75,90.0,Excellent,Pass
S0111,17,Female,12,3.2,88,Postgraduate,Yes,No,70,40,47,87,52.33,Average,Pass
S0112,15,Female,10,4.5,74,Graduate,No,No,72,100,87,55,86.33,Excellent,Pass
S0113,15,Female,10,2.6,66,Graduate,Yes,No,65,56,49,62,56.67,Average,Pass
S0114,16,Male,10,3.7,51,Postgraduate,No,No,47,77,52,82,58.67,Average,Pass
S0115,18,Female,10,5.9,55,Postgraduate,Yes,Yes,91,43,91,95,75.0,Good,Pass
S0116,19,Female,12,0.8,68,Graduate,No,Yes,55,96,75,51,75.33,Good,Pass
S0117,14,Male,9,3.4,77,Graduate,No,Yes,87,61,47,66,65.0,Average,Pass
S0118,19,Female,11,4.3,77,High School,No,Yes,69,68,98,57,78.33,Good,Pass
S0119,15,Female,10,5.1,76,High School,No,Yes,94,69,74,85,79.0,Good,Pass
S0120,18,Male,12,4.5,55,Graduate,Yes,No,46,45,39,59,43.33,Poor,Fail
S0121,18,Male,9,5.6,66,Postgraduate,No,No,43,85,92,77,73.33,Good,Pass
S0122,18,Male,9,0.6,99,Graduate,No,No,90,85,75,72,83.33,Excellent,Pass
S0123,19,Female,10,5.6,68,Graduate,No,Yes,96,65,69,46,76.67,Good,Pass
S0124,19,Male,10,4.1,94,High School,No,Yes,36,82,59,77,59.0,Average,Pass
S0125,14,Male,12,5.0,72,Graduate,No,No,59,42,68,72,56.33,Average,Pass
S0126,17,Female,9,2.3,66,Graduate,No,Yes,45,89,71,75,68.33,Good,Pass
S0127,15,Male,11,2.5,63,High School,No,No,49,40,100,92,63.0,Average,Pass
S0128,17,Male,11,4.9,61,Postgraduate,No,Yes,70,41,96,51,69.0,Good,Pass
S0129,19,Female,10,1.7,74,Postgraduate,Yes,No,83,89,100,73,90.67,Excellent,Pass
S0130,19,Female,9,2.5,85,Graduate,Yes,Yes,72,96,91,65,86.33,Excellent,Pass
S0131,15,Male,11,0.8,75,Postgraduate,No,Yes,71,99,57,69,75.67,Good,Pass
S0132,19,Male,9,1.7,100,Graduate,Yes,Yes,89,50,85,83,74.67,Good,Pass
S0133,18,Female,10,1.2,84,Postgraduate,Yes,Yes,47,93,93,82,77.67,Good,Pass
S0134,14,Male,12,2.7,80,Postgraduate,No,No,59,49,74,84,60.67,Average,Pass
S0135,15,Female,9,1.1,97,High School,Yes,Yes,72,78,92,75,80.67,Good,Pass
S0136,19,Female,11,3.9,72,High School,Yes,Yes,79,49,59,78,62.33,Average,Pass
S0137,19,Male,12,1.5,83,Graduate,Yes,No,81,93,73,62,82.33,Excellent,Pass
S0138,16,Female,9,2.3,88,Postgraduate,No,Yes,94,71,83,90,82.67,Excellent,Pass
S0139,17,Male,11,5.5,60,Postgraduate,Yes,No,81,84,97,45,87.33,Excellent,Pass
S0140,14,Male,12,5.1,85,Graduate,Yes,No,56,90,86,53,77.33,Good,Pass
S0141,15,Female,10,5.7,89,Graduate,No,Yes,96,52,59,45,69.0,Good,Pass
S0142,16,Female,9,5.7,60,Postgraduate,No,No,97,77,41,89,71.67,Good,Pass
S0143,15,Male,10,4.7,76,Postgraduate,Yes,No,80,52,70,50,67.33,Good,Pass
S0144,14,Male,11,1.4,94,Graduate,No,Yes,46,65,82,82,64.33,Average,Pass
S0145,19,Male,12,4.3,56,High School,No,Yes,83,99,97,57,93.0,Excellent,Pass
S0146,19,Female,12,4.1,82,Graduate,Yes,No,51,48,44,88,47.67,Poor,Fail
S0147,19,Male,11,1.4,54,Postgraduate,Yes,Yes,96,56,50,41,67.33,Good,Pass
S0148,19,Female,11,5.3,91,Postgraduate,No,Yes,65,51,65,80,60.33,Average,Pass
S0149,19,Male,9,3.2,59,Postgraduate,Yes,No,72,45,40,44,52.33,Average,Pass
S0150,16,Male,9,5.2,99,High School,Yes,No,63,57,78,43,66.0,Good,Pass
S0151,17,Male,12,5.0,71,Postgraduate,Yes,No,56,61,42,91,53.0,Average,Pass
S0152,15,Male,11,3.4,83,Postgraduate,Yes,No,70,40,97,64,69.0,Good,Pass
S0153,17,Female,11,4.4,72,Postgraduate,No,Yes,77,42,99,76,72.67,Good,Pass
S0154,17,Male,10,3.2,98,High School,No,Yes,62,81,64,84,69.0,Good,Pass
S0155,17,Female,10,5.4,84,Graduate,No,Yes,71,82,81,66,78.0,Good,Pass
S0156,16,Male,9,3.6,86,High School,No,No,87,47,39,73,57.67,Average,Pass
S0157,17,Male,11,0.6,55,Postgraduate,No,No,40,100,97,79,79.0,Good,Pass
S0158,16,Female,12,5.6,75,Graduate,No,No,44,60,51,80,51.67,Average,Pass
S0159,17,Female,12,2.8,98,High School,Yes,Yes,49,47,75,43,57.0,Average,Pass
S0160,16,Male,12,0.7,71,Graduate,No,Yes,43,60,70,54,57.67,Average,Pass
S0161,18,Female,10,2.5,97,High School,No,No,77,81,36,52,64.67,Average,Pass
S0162,18,Female,10,3.7,53,High School,Yes,Yes,39,79,62,82,60.0,Average,Pass
S0163,19,Female,9,1.1,74,High School,Yes,Yes,40,63,72,64,58.33,Average,Pass
S0164,17,Male,10,5.7,63,High School,Yes,Yes,88,62,77,42,75.67,Good,Pass
S0165,17,Male,12,2.4,53,Graduate,Yes,Yes,94,37,68,81,66.33,Good,Pass
S0166,14,Male,12,5.0,55,Postgraduate,Yes,No,65,81,59,67,68.33,Good,Pass
S0167,19,Male,12,1.9,60,Postgraduate,No,No,78,62,38,44,59.33,Average,Pass
S0168,16,Male,12,0.8,75,Graduate,No,Yes,44,70,73,88,62.33,Average,Pass
S0169,19,Male,11,3.5,60,Graduate,Yes,Yes,51,61,53,44,55.0,Average,Pass
S0170,16,Male,9,5.7,72,Postgraduate,Yes,Yes,48,79,98,60,75.0,Good,Pass
S0171,18,Male,9,5.8,89,High School,Yes,No,91,48,68,95,69.0,Good,Pass
S0172,16,Male,10,5.0,58,Graduate,No,Yes,41,67,85,69,64.33,Average,Pass
S0173,14,Female,10,5.6,96,High School,No,No,75,69,41,45,61.67,Average,Pass
S0174,14,Male,10,5.2,50,High School,No,No,35,84,96,61,71.67,Good,Pass
S0175,18,Female,10,1.1,82,Postgraduate,No,Yes,55,48,35,68,46.0,Poor,Fail
S0176,14,Male,10,4.2,54,Graduate,Yes,Yes,64,61,87,49,70.67,Good,Pass
S0177,18,Female,11,4.3,71,Graduate,No,Yes,45,45,60,43,50.0,Average,Pass
S0178,18,Male,12,3.1,87,High School,No,No,93,89,35,80,72.33,Good,Pass
S0179,19,Female,10,3.0,78,Postgraduate,Yes,No,80,55,53,77,62.67,Average,Pass
S0180,15,Male,11,1.7,68,Graduate,No,No,64,57,56,62,59.0,Average,Pass
S0181,17,Female,12,3.1,82,Graduate,Yes,Yes,61,48,62,65,57.0,Average,Pass
S0182,19,Male,12,1.1,94,Postgraduate,No,No,72,85,71,92,76.0,Good,Pass
S0183,16,Male,12,3.7,73,Postgraduate,No,No,42,81,95,61,72.67,Good,Pass
S0184,19,Female,10,4.4,81,Graduate,Yes,No,47,75,65,58,62.33,Average,Pass
S0185,17,Male,10,2.5,79,High School,Yes,Yes,69,88,61,43,72.67,Good,Pass
S0186,16,Male,10,4.6,84,High School,No,No,62,70,43,46,58.33,Average,Pass
S0187,18,Male,12,1.7,77,Graduate,No,No,61,68,97,74,75.33,Good,Pass
S0188,19,Female,10,3.8,78,High School,Yes,Yes,94,65,41,92,66.67,Good,Pass
S0189,16,Male,12,1.4,61,Postgraduate,Yes,Yes,72,42,61,81,58.33,Average,Pass
S0190,15,Female,9,3.5,93,Graduate,Yes,Yes,78,50,94,88,74.0,Good,Pass
S0191,18,Female,12,1.4,89,Postgraduate,Yes,No,98,43,57,62,66.0,Good,Pass
S0192,19,Male,11,4.6,93,Graduate,Yes,Yes,38,68,79,50,61.67,Average,Pass
S0193,15,Female,11,3.1,97,High School,No,Yes,78,45,58,77,60.33,Average,Pass
S0194,16,Male,11,1.4,67,Postgraduate,Yes,Yes,53,52,84,89,63.0,Average,Pass
S0195,19,Female,12,5.5,94,Graduate,No,Yes,88,42,84,80,71.33,Good,Pass
S0196,14,Male,12,3.5,84,Graduate,No,No,39,58,46,41,47.67,Poor,Fail
S0197,14,Male,11,2.6,88,High School,No,No,99,39,73,42,70.33,Good,Pass
S0198,19,Female,10,0.6,94,Graduate,Yes,Yes,69,37,69,65,58.33,Average,Pass
S0199,15,Female,10,2.0,93,High School,No,No,65,99,47,68,70.33,Good,Pass
S0200,17,Male,10,1.3,50,Postgraduate,No,No,84,53,79,66,72.0,Good,Pass
S0201,17,Female,10,4.7,53,Postgraduate,Yes,No,76,65,91,41,77.33,Good,Pass
S0202,15,Female,10,1.3,99,Graduate,Yes,Yes,36,39,51,65,42.0,Poor,Fail
S0203,15,Female,9,1.4,57,Graduate,No,Yes,89,39,87,84,71.67,Good,Pass
S0204,17,Female,11,4.8,56,Graduate,No,Yes,62,64,74,56,66.67,Good,Pass
S0205,17,Female,10,1.7,83,Graduate,Yes,No,42,62,47,62,50.33,Average,Pass
S0206,15,Male,12,3.8,75,Postgraduate,Yes,Yes,86,74,98,55,86.0,Excellent,Pass
S0207,15,Male,9,4.6,89,Postgraduate,Yes,No,35,91,42,41,56.0,Average,Pass
S0208,16,Male,12,5.5,52,Graduate,Yes,Yes,56,90,76,87,74.0,Good,Pass
S0209,14,Male,12,3.1,51,High School,Yes,Yes,87,95,35,43,72.33,Good,Pass
S0210,19,Female,12,5.7,63,Graduate,No,No,99,58,86,56,81.0,Excellent,Pass
S0211,14,Female,12,3.9,50,Postgraduate,Yes,Yes,65,51,61,82,59.0,Average,Pass
S0212,18,Female,9,2.3,98,Graduate,No,Yes,61,97,69,66,75.67,Good,Pass
S0213,18,Male,11,1.9,59,Graduate,Yes,No,93,46,86,44,75.0,Good,Pass
S0214,19,Female,12,4.1,56,Graduate,No,No,83,67,86,56,78.67,Good,Pass
S0215,17,Male,12,4.7,71,Graduate,No,No,69,36,49,54,51.33,Average,Pass
S0216,14,Female,12,0.5,88,Graduate,No,No,66,80,95,63,80.33,Good,Pass
S0217,18,Female,9,1.8,91,Graduate,Yes,Yes,88,70,74,56,77.33,Good,Pass
S0218,19,Female,9,5.7,51,High School,Yes,No,63,37,96,75,65.33,Average,Pass
S0219,15,Male,12,5.1,91,Graduate,Yes,Yes,78,88,81,81,82.33,Excellent,Pass
S0220,14,Female,9,2.4,52,High School,No,No,55,43,74,81,57.33,Average,Pass
S0221,16,Female,12,3.6,53,Graduate,No,Yes,76,50,68,88,64.67,Average,Pass
S0222,14,Female,10,2.1,61,Graduate,No,Yes,55,69,68,57,64.0,Average,Pass
S0223,19,Female,12,1.0,86,Graduate,Yes,Yes,65,83,80,46,76.0,Good,Pass
S0224,17,Male,11,3.1,58,Postgraduate,No,Yes,96,98,71,84,88.33,Excellent,Pass
S0225,16,Male,10,2.9,53,High School,No,Yes,54,63,41,88,52.67,Average,Pass
S0226,15,Male,10,4.6,53,Postgraduate,Yes,No,40,86,59,64,61.67,Average,Pass
S0227,17,Female,9,6.0,97,Postgraduate,No,Yes,63,79,48,74,63.33,Average,Pass
S0228,18,Female,12,2.9,87,Graduate,Yes,Yes,38,52,50,64,46.67,Poor,Fail
S0229,14,Male,10,1.9,75,High School,Yes,Yes,72,95,70,76,79.0,Good,Pass
S0230,14,Male,11,1.0,74,Graduate,No,Yes,93,58,64,56,71.67,Good,Pass
S0231,18,Female,9,2.5,98,High School,No,Yes,47,74,76,73,65.67,Average,Pass
S0232,19,Female,10,3.9,74,Postgraduate,No,No,43,37,73,68,51.0,Average,Pass
S0233,19,Female,9,5.6,97,High School,No,Yes,99,84,86,51,89.67,Excellent,Pass
S0234,15,Male,10,4.0,63,Graduate,Yes,Yes,94,96,49,88,79.67,Good,Pass
S0235,15,Female,10,3.9,67,High School,No,No,87,52,38,93,59.0,Average,Pass
S0236,15,Male,9,2.6,53,High School,Yes,No,78,90,83,69,83.67,Excellent,Pass
S0237,19,Female,9,1.3,56,High School,No,Yes,75,72,97,53,81.33,Excellent,Pass
S0238,16,Male,12,4.5,54,High School,Yes,No,72,83,80,41,78.33,Good,Pass
S0239,19,Male,10,5.8,52,Postgraduate,No,No,35,63,81,59,59.67,Average,Pass
S0240,16,Female,12,0.6,91,Postgraduate,No,Yes,45,52,98,63,65.0,Average,Pass
S0241,18,Female,11,5.9,89,Postgraduate,No,No,47,65,57,65,56.33,Average,Pass
S0242,18,Female,10,1.9,57,Graduate,Yes,Yes,58,60,94,83,70.67,Good,Pass
S0243,14,Female,11,3.1,88,Graduate,No,No,64,78,36,93,59.33,Average,Pass
S0244,17,Female,11,2.8,64,Graduate,Yes,No,54,72,89,73,71.67,Good,Pass
S0245,19,Male,10,1.2,91,Postgraduate,Yes,No,49,99,67,60,71.67,Good,Pass
S0246,19,Male,10,5.8,95,Graduate,No,Yes,67,50,37,55,51.33,Average,Pass
S0247,18,Male,10,0.9,97,High School,No,No,52,99,83,44,78.0,Good,Pass
S0248,17,Female,11,3.7,95,High School,Yes,Yes,58,41,48,85,49.0,Poor,Fail
S0249,19,Male,10,1.8,89,Postgraduate,No,No,36,58,59,42,51.0,Average,Pass
S0250,19,Female,9,4.3,59,Graduate,No,No,65,53,73,56,63.67,Average,Pass
S0251,16,Female,9,3.8,62,High School,Yes,No,77,67,38,59,60.67,Average,Pass
S0252,19,Female,10,0.8,51,High School,No,Yes,70,44,44,69,52.67,Average,Pass
S0253,17,Female,12,5.9,88,Postgraduate,No,Yes,73,58,36,77,55.67,Average,Pass
S0254,16,Male,10,3.3,67,High School,No,No,65,82,67,56,71.33,Good,Pass
S0255,16,Male,10,2.1,65,High School,Yes,No,41,67,66,45,58.0,Average,Pass
S0256,15,Female,11,5.4,60,Postgraduate,Yes,No,38,91,67,57,65.33,Average,Pass
S0257,18,Male,10,3.1,78,High School,No,No,75,63,37,41,58.33,Average,Pass
S0258,14,Male,9,4.4,54,Graduate,No,No,62,77,96,84,78.33,Good,Pass
S0259,18,Female,12,0.8,90,High School,No,No,69,85,35,58,63.0,Average,Pass
S0260,16,Female,10,3.9,84,High School,Yes,Yes,89,58,52,44,66.33,Good,Pass
S0261,14,Male,10,3.8,88,Graduate,No,Yes,67,57,36,54,53.33,Average,Pass
S0262,15,Male,11,1.3,55,Graduate,Yes,No,50,37,46,67,44.33,Poor,Fail
S0263,15,Female,11,3.3,53,Postgraduate,No,Yes,38,68,96,77,67.33,Good,Pass
S0264,17,Female,12,0.8,98,High School,No,Yes,56,35,73,95,54.67,Average,Pass
S0265,19,Female,12,3.9,55,Postgraduate,No,Yes,67,50,60,62,59.0,Average,Pass
S0266,15,Male,11,2.0,83,Graduate,No,Yes,58,83,99,60,80.0,Good,Pass
S0267,18,Female,9,2.1,83,Graduate,Yes,Yes,37,95,59,74,63.67,Average,Pass
S0268,14,Male,9,1.7,97,High School,Yes,Yes,81,47,53,53,60.33,Average,Pass
S0269,15,Male,10,1.0,76,Graduate,Yes,Yes,43,76,89,40,69.33,Good,Pass
S0270,14,Female,11,2.1,58,Graduate,No,No,62,87,66,72,71.67,Good,Pass
S0271,18,Male,9,1.6,65,High School,No,No,45,45,48,54,46.0,Poor,Fail
S0272,14,Male,10,0.7,85,Postgraduate,Yes,Yes,59,95,98,60,84.0,Excellent,Pass
S0273,14,Male,10,3.3,80,Postgraduate,No,No,69,60,75,65,68.0,Good,Pass
S0274,16,Male,11,0.9,73,Graduate,No,Yes,45,88,37,76,56.67,Average,Pass
S0275,19,Female,11,4.5,89,Graduate,Yes,No,61,83,40,82,61.33,Average,Pass
S0276,16,Female,10,1.1,58,Graduate,Yes,Yes,73,41,38,82,50.67,Average,Pass
S0277,16,Female,9,2.0,71,Postgraduate,No,Yes,76,80,85,92,80.33,Good,Pass
S0278,17,Male,11,5.2,57,Postgraduate,No,Yes,89,56,93,77,79.33,Good,Pass
S0279,17,Male,10,0.5,100,Graduate,Yes,Yes,71,95,87,67,84.33,Excellent,Pass
S0280,16,Female,10,3.8,77,Graduate,No,Yes,41,41,99,91,60.33,Average,Pass
S0281,17,Male,10,1.0,97,Graduate,No,Yes,67,57,84,67,69.33,Good,Pass
S0282,14,Female,10,0.9,83,Postgraduate,No,No,79,38,69,57,62.0,Average,Pass
S0283,16,Female,12,2.8,79,Graduate,Yes,Yes,96,46,84,95,75.33,Good,Pass
S0284,16,Male,9,3.6,54,Postgraduate,No,No,46,75,67,89,62.67,Average,Pass
S0285,17,Male,9,5.9,50,Graduate,No,Yes,83,98,62,85,81.0,Excellent,Pass
S0286,16,Female,9,4.7,90,High School,Yes,Yes,59,68,66,63,64.33,Average,Pass
S0287,18,Male,12,5.4,51,Postgraduate,No,Yes,84,46,36,66,55.33,Average,Pass
S0288,14,Female,11,0.8,62,Graduate,No,No,94,100,58,53,84.0,Excellent,Pass
S0289,15,Male,9,0.6,87,Graduate,Yes,Yes,67,63,80,50,70.0,Good,Pass
S0290,14,Male,10,4.8,60,Postgraduate,No,No,38,51,71,85,53.33,Average,Pass
S0291,15,Male,10,5.0,65,Postgraduate,Yes,Yes,47,95,56,58,66.0,Good,Pass
S0292,14,Male,12,4.1,61,Graduate,Yes,No,53,38,35,43,42.0,Poor,Fail
